time,x,y,Object
5018375122270700,-0.01910159,0.036211766,0
5018375126514200,-0.019081455,0.036294706,0
5018375154337200,-0.019081455,0.036294706,0
5018375158782400,-0.0189793,0.036876358,0
5018375163409300,-0.018979201,0.037042923,0
5018375168196100,-0.018937344,0.037209563,0
5018375179887500,-0.018851774,0.03771048,0
5018375198250500,-0.018631848,0.038548652,0
5018375202905200,-0.018541163,0.03888499,0
5018375214014800,-0.018355163,0.039559204,0
5018375229360100,-0.018259838,0.03989704,0
5018375233185300,-0.017913895,0.041082975,0
5018375256187800,-0.01770763,0.041762672,0
5018375260828900,-0.016993804,0.04397946,0
5018375272357900,-0.016811248,0.044661958,0
5018375295627500,-0.016329309,0.046455156,0
5018375298112500,-0.015270083,0.050467484,0
5018375302356600,-0.015222457,0.05072307,0
5018375314345200,-0.014974532,0.051320285,0
5018375329171300,-0.014538447,0.052342497,0
5018375345469300,-0.014501469,0.052427586,0
5018375347788900,-0.014486885,0.052597582,0
5018375363513100,-0.014486885,0.052597582,0
5018375379281000,-0.014486885,0.052597582,0
5018375381492200,-0.014486885,0.052597582,0
5018375393945400,-0.014486885,0.052597582,0
5018375406029500,-0.014486885,0.052597582,0
5018375413117800,-0.014486885,0.052597582,0
5018375429447400,-0.014486885,0.052597582,0
5018375444935000,-0.014486885,0.052597582,0
5018375447136400,-0.014486885,0.052597582,0
5018375459567400,-0.014486885,0.052597582,0
5018375471044600,-0.014486885,0.052597582,0
5018375479109200,-0.014486885,0.052597582,0
5018375496321200,-0.014486885,0.052597582,0
5018375501381600,-0.014486885,0.052597582,0
5018375520182800,-0.014486885,0.052597582,0
5018375522486700,-0.014486885,0.052597582,0
5018375539798800,-0.014486885,0.052597582,0
5018375555306700,-0.014486885,0.052597582,0
5018375557526000,-0.014486885,0.052597582,0
5018375571518800,-0.014486885,0.052597582,0
5018375586251600,-0.014486885,0.052597582,0
5018375588414500,-0.014486885,0.052597582,0
5018375604800400,-0.014486885,0.052597582,0
5018375613323600,-0.014486885,0.052597582,0
5018375628350900,-0.014486885,0.052597582,0
5018375637109100,-0.014486885,0.052597582,0
5018375643819400,-0.014486885,0.052597582,0
5018375665996600,-0.014486885,0.052597582,0
5018375668270100,-0.014486885,0.052597582,0
5018375676384900,-0.014486885,0.052597582,0
5018375687658700,-0.01450946,0.052682515,0
5018375698765600,-0.014532137,0.052767433,0
5018375709337200,-0.014600724,0.05302232,0
5018375720020500,-0.01464691,0.05319232,0
5018375732390600,-0.014740414,0.053532526,0
5018375743024300,-0.014811531,0.053787768,0
5018375753830400,-0.014907645,0.05412835,0
5018375763891400,-0.0150052635,0.054469094,0
5018375789961100,-0.015129411,0.054895245,0
5018375792251600,-0.015410809,0.05583354,0
5018375797949400,-0.0154631995,0.056004215,0
5018375810213200,-0.015649538,0.05660173,0
5018375820246400,-0.015758079,0.05694329,0
5018375837301900,-0.016007856,0.057711843,0
5018375843828000,-0.016500577,0.05916338,0
5018375852456500,-0.01659036,0.059419446,0
5018375869385200,-0.017020611,0.060613666,0
5018375886181700,-0.01783812,0.06257192,0
5018375888417500,-0.019330364,0.06528243,0
5018375903418500,-0.01962721,0.06561914,0
