time,x,y,Object
3261842898126000,-0.019020025,0.035714522,0
3261842912083000,-0.019020025,0.035714522,0
3261842922060800,-0.019020025,0.035714522,0
3261842934902800,-0.019020025,0.035714522,0
3261842942966800,-0.019020025,0.035714522,0
3261842961529700,-0.019020025,0.035714522,0
3261842974705300,-0.019020025,0.035714522,0
3261842991413700,-0.019020025,0.035714522,0
3261842995924100,-0.019020025,0.035714522,0
3261843008008300,-0.019020025,0.035714522,0
3261843024014800,-0.019020025,0.035714522,0
3261843028556700,-0.019020025,0.035714522,0
3261843039860500,-0.019020025,0.035714522,0
3261843053947400,-0.019020025,0.035714522,0
3261843064740900,-0.019020025,0.035714522,0
3261843071349700,-0.019020025,0.035714522,0
3261843081927200,-0.019020025,0.035714522,0
3261843093243700,-0.019020025,0.035714522,0
3261843108769200,-0.019020025,0.035714522,0
3261843115419900,-0.019020025,0.035714522,0
3261843139660300,-0.019020025,0.035714522,0
3261843143514600,-0.019020025,0.035714522,0
3261843148225900,-0.019020025,0.035714522,0
3261843159308400,-0.019020025,0.035714522,0
3261843186898900,-0.019020025,0.035714522,0
3261843190693300,-0.019020025,0.035714522,0
3261843195368500,-0.019020025,0.035714522,0
3261843203345500,-0.019020025,0.035714522,0
3261843218509100,-0.019020025,0.035714522,0
3261843234387600,-0.019020025,0.035714522,0
3261843238241300,-0.019020025,0.035714522,0
3261843252957100,-0.019020025,0.035714522,0
3261843257570200,-0.019020025,0.035714522,0
3261843271540500,-0.019020025,0.035714522,0
3261843285325600,-0.019020025,0.035714522,0
3261843302075100,-0.019020025,0.035714522,0
3261843305793100,-0.019020025,0.035714522,0
3261843313554500,-0.019020025,0.035714522,0
3261843326445600,-0.019020025,0.035714522,0
3261843336146000,-0.019020025,0.035714522,0
3261843353057000,-0.019020025,0.035714522,0
3261843357673300,-0.019060383,0.035880093,0
3261843367766900,-0.019080697,0.035962977,0
3261843382379900,-0.019121611,0.036128934,0
3261843389457600,-0.019205546,0.0366275,0
3261843410011700,-0.01922662,0.036710806,0
3261843413915800,-0.019228734,0.037043653,0
3261843429200000,-0.019212238,0.037794366,0
3261843433634600,-0.01917209,0.03829604,0
3261843448702600,-0.01917286,0.038463563,0
3261843461469600,-0.019217035,0.038631395,0
3261843467161500,-0.019239271,0.038715374,0
3261843478676800,-0.019261602,0.03879937,0
3261843491053900,-0.01928403,0.038883425,0
3261843499371000,-0.019306555,0.038967494,0
3261843510840800,-0.019306555,0.038967494,0
3261843532706900,-0.019329164,0.039051656,0
3261843537293200,-0.019376336,0.03938804,0
3261843543741000,-0.019401053,0.039640583,0
3261843567037600,-0.01942427,0.039724864,0
3261843571721900,-0.019498678,0.04031521,0
3261843576387800,-0.019500801,0.04048387,0
3261843591219000,-0.019524677,0.040568452,0
3261843598194400,-0.01954866,0.040653054,0
3261843613623900,-0.019596877,0.040822405,0
3261843625638300,-0.019669974,0.041076556,0
3261843641215900,-0.019694528,0.04116135,0
3261843645067800,-0.01971918,0.041246153,0
3261843658561800,-0.019768788,0.041415844,0
3261843674878100,-0.019818787,0.041585602,0
3261843678746800,-0.019843914,0.0416705,0
3261843686095000,-0.019876292,0.04209411,0
3261843707848300,-0.019879868,0.04226354,0
3261843711743600,-0.019819997,0.04285627,0
3261843719653400,-0.019717604,0.043959573,0
3261843731939000,-0.019673305,0.044299543,0
3261843753229100,-0.019558182,0.045065317,0
3261843756695000,-0.01946541,0.045917697,0
3261843765300100,-0.019370096,0.04694202,0
3261843774605300,-0.019345557,0.0471983,0
3261843785727100,-0.019351847,0.0480533,0
3261843800020600,-0.019355638,0.04856652,0
3261843816022000,-0.019306224,0.04942225,0
3261843819340200,-0.0193073,0.04959345,0
3261843833811200,-0.01919961,0.050620817,0
3261843850090000,-0.019000009,0.05173414,0
3261843852532100,-0.018699905,0.053275675,0
3261843866892100,-0.018637558,0.053618163,0
3261843883475400,-0.01848081,0.054217376,0
3261843885866000,-0.017944623,0.056782305,0
3261843900935300,-0.017877316,0.05695298,0
3261843915669100,-0.017618665,0.05840308,0
3261843917849000,-0.017579608,0.058658734,0
3261843933381300,-0.017312678,0.05993509,0
3261843941389200,-0.017072992,0.061123986,0
3261843956109300,-0.016998671,0.061293278,0
3261843962352300,-0.016863443,0.062225677,0
3261843978495000,-0.016857719,0.062395193,0
3261843983752000,-0.0166866,0.06324067,0
3261844006101800,-0.016647916,0.06332487,0
3261844008497900,-0.016380012,0.06467411,0
3261844023218200,-0.016340196,0.06475797,0
