time,x,y,Object
1305295086442000,11.134623,0.022547226,0
1305295090747400,11.119405,0.08354615,0
1305295095371000,11.1039295,0.14468335,0
1305295104789700,11.108374,0.42213866,4
1305295125702200,11.123163,0.9979148,4
1305295129588900,11.190846,1.9435697,4
1305295144544600,11.308832,2.7232022,4
1305295149521200,11.353493,2.9466214,4
1305295159745600,11.423663,3.2659745,4
1305295178052700,11.650555,4.17485,4
1305295182795000,11.681099,4.3336263,4
1305295194889400,11.718278,4.618754,4
1305295204788700,11.715176,4.950236,4
1305295226726200,11.658378,5.2491403,4
1305295230405400,11.484943,5.7348886,0
1305295250785000,11.488124,5.8604608,0
1305295253841700,11.429952,5.96954,0
1305295264236100,11.410541,6.01631,0
1305295269938500,11.32399,6.1560693,0
1305295283667100,11.109798,6.605181,0
1305295297980800,11.052174,6.7285028,0
1305295302916000,10.834952,7.172934,0
1305295313905900,10.637308,7.5523477,0
1305295329408700,10.408966,8.216808,4
1305295344086300,10.400553,8.398811,4
1305295347238200,10.388243,9.032097,4
1305295363928000,10.39069,9.361309,4
1305295369018300,10.369799,9.449785,4
1305295382083500,10.274403,9.653357,4
1305295395480700,10.235402,9.740326,4
1305295411263500,10.092564,9.95433,4
1305295415958600,9.897309,10.236555,4
1305295426225400,9.837681,10.320501,4
1305295436043800,9.764983,10.577866,4
1305295459228100,9.768917,10.910809,4
1305295463294800,9.913633,11.761072,4
1305295467963800,9.962266,11.93276,4
1305295493535400,10.001408,12.11697,4
1305295498068200,10.037428,12.796181,4
1305295502771400,10.011833,12.904003,4
1305295513410200,9.975168,13.024382,4
1305295528413100,9.756254,13.429092,4
1305295534204900,9.709762,13.506287,4
1305295545579700,9.669527,13.650164,0
1305295555936600,9.6241865,13.872129,0
1305295566614800,9.571157,14.390888,0
1305295578045400,9.600455,15.031502,0
1305295589670900,9.773518,15.639996,0
1305295599913900,9.97391,16.10091,0
1305295610574800,10.227161,16.646498,0
1305295622421600,10.503593,17.164135,0
1305295635009900,10.790478,17.598253,0
1305295651835700,11.072588,17.942547,0
1305295654694500,11.511062,18.36068,0
1305295669483600,11.867294,18.627861,0
1305295685127400,11.969508,18.687687,0
1305295688327400,12.452997,18.816292,0
1305295699650600,12.6809225,18.826857,0
1305295723144800,12.99459,18.779873,0
1305295726167000,13.893557,18.455961,0
1305295732473200,14.051599,18.389145,0
1305295755046900,14.678379,17.994364,0
1305295758035600,15.540309,17.233347,0
1305295766675300,15.686677,17.053806,0
1305295788734300,16.106255,16.539024,0
1305295791704300,17.044449,15.150734,0
1305295797745600,17.164116,14.951679,0
1305295819949900,17.608543,14.156254,0
1305295822987800,18.05093,13.173502,0
1305295836337800,18.060007,12.945698,0
1305295851390700,18.022335,12.065214,0
1305295854422000,17.812819,11.277306,0
1305295868934400,17.721977,11.132782,0
1305295883896600,17.259415,10.483204,0
1305295886763600,16.642141,9.902756,0
1305295902247400,16.471247,9.749493,0
1305295909104700,15.69654,9.307417,0
1305295918887800,15.235125,9.113834,0
1305295932902500,14.5376625,8.922361,0
1305295947003600,13.659794,8.812559,0
1305295951657500,12.582822,8.87421,0
1305295965528800,12.066202,8.963446,4
1305295975425000,11.020346,9.142239,4
1305295990016000,10.287041,9.22221,4
1305295995557000,9.770365,9.341991,4
1305296009988300,9.62685,9.421345,4
1305296018256800,9.537933,9.548479,4
1305296041103600,9.447918,9.67485,4
1305296045455700,9.28821,9.868404,4
1305296055382000,9.2676525,9.896095,4
1305296070978000,9.261578,9.954433,4
1305296075638000,9.28051,10.029552,4
1305296084987600,9.287863,10.044865,4
1305296095295100,9.407561,10.2891655,4
1305296106161000,9.53655,10.575993,4
1305296120771500,9.721788,11.180428,4
1305296134473300,9.722147,11.30904,4
1305296138979100,9.645319,11.715111,4
1305296153978900,9.379367,12.115719,4
1305296167550200,9.280117,12.23278,4
1305296172018100,8.976719,12.578529,4
1305296191924700,8.512234,13.07519,4
1305296196654200,8.393435,13.19635,4
1305296206631600,8.273611,13.316282,0
1305296216088200,7.7346125,13.82905,0
1305296232415500,7.0400696,14.409517,0
1305296238535000,6.8974066,14.525894,0
1305296261169100,6.4373894,14.88508,0
1305296264150300,5.811019,15.316778,0
1305296270519600,5.6887197,15.400501,0
1305296291730800,5.305436,15.65349,0
1305296294792100,4.6863823,16.072489,0
1305296309685900,4.630681,16.22158,0
1305296314546700,4.314042,16.800154,0
1305296328349000,4.1012373,17.378838,1
1305296342524000,4.0507812,17.51464,1
1305296349249500,3.956728,17.9794,1
1305296359191100,3.9435625,18.21925,1
1305296369848300,3.9610205,18.442923,1
1305296390352600,3.9864817,18.625854,1
1305296393707400,4.0591555,18.8567,1
1305296409956600,4.070485,18.86923,1
1305296414577900,4.1386833,18.944153,1
1305296427553200,4.2273655,18.957945,1
1305296442528100,4.2545996,18.946112,1
1305296447082400,4.368368,18.965902,1
1305296462142800,4.47736,18.91745,1
1305296476183200,4.5046253,18.905193,1
1305296479487200,4.65471,18.836746,1
1305296492021600,4.8049555,18.76655,1
1305296507376700,5.146783,18.600487,1
1305296514040100,5.242524,18.552366,1
1305296536946700,5.4774857,18.412813,1
1305296539986100,5.9328394,17.746813,1
1305296545851000,5.931712,17.574312,1
1305296558737500,5.8799763,17.001236,1
1305296569956100,5.8001337,16.655777,1
1305296586199000,5.6508703,16.112555,1
1305296590900300,5.3006525,15.214333,1
1305296612167600,4.8307123,13.975431,1
1305296616912800,4.737241,13.717163,1
1305296623738000,4.6826277,13.453537,1
1305296634659800,4.6175222,13.118019,0
1305296645022200,4.6631393,12.647039,0
1305296659357700,4.7685785,12.212334,3
1305296667126200,4.9858875,11.731203,3
1305296679059700,5.2299824,11.542702,3
1305296688475300,5.643877,11.207342,3
1305296710527200,5.945327,10.94993,3
1305296715201400,6.693817,10.30044,3
1305296722137000,6.8843527,10.132908,3
1305296734082700,7.233552,9.858637,3
1305296759187900,7.662266,9.765507,3
1305296763259500,8.758337,9.46287,3
1305296768140700,8.968558,9.380325,3
1305296781494000,9.156184,9.323568,3
1305296788528500,9.654697,9.199707,3
1305296807566400,10.312622,9.043697,3
1305296812278500,10.430477,9.018902,3
1305296823277800,10.531331,8.992926,3
1305296837234000,10.763777,9.000837,3
1305296856291700,11.012486,9.067139,3
1305296860638900,11.42396,9.237143,0
1305296864962900,11.517654,9.282278,4
1305296887040700,11.765461,9.356113,4
1305296890291900,12.103133,9.618748,4
1305296899898900,12.131572,9.6625595,4
1305296918482700,12.190635,9.779444,4
1305296921596900,12.107107,10.163731,4
1305296935834800,12.09247,10.222601,4
1305296942313000,11.992383,10.559811,4
1305296952793800,11.98228,10.733887,4
1305296965954600,11.9459505,10.950895,4
1305296981651200,11.952259,11.09441,4
1305296985585200,12.059604,11.377996,4
1305296999245700,12.13262,11.504164,4
1305297012927300,12.300476,11.753862,4
1305297028617800,12.472068,12.000504,4
1305297032805400,12.635654,12.355423,4
1305297041488100,12.68379,12.463745,0
1305297060582600,12.828218,12.758633,0
1305297063781700,13.476809,13.37882,0
1305297077198700,13.971209,13.7867775,2
1305297091861500,14.078636,13.868151,2
1305297096246500,14.390259,14.160971,2
1305297107830400,14.395278,14.27693,2
1305297118081200,14.316119,14.427515,2
1305297140264700,14.213676,14.5795555,2
1305297143696700,13.926514,14.988752,2
1305297155154000,13.855183,15.058222,2
1305297171130700,13.633537,15.32719,2
1305297174875300,13.234034,15.726582,2
1305297184257900,12.882651,15.809126,2
1305297199384500,12.242947,15.933674,2
1305297212145300,12.048058,15.975288,2
1305297227802100,11.598485,16.042515,0
1305297231238000,11.030874,16.076588,0
1305297238761700,10.845065,16.1214,0
1305297258859500,10.239972,16.149837,0
1305297261967500,9.055477,16.07198,0
1305297271832300,8.777303,16.046057,0
1305297290895700,7.2294474,15.848087,0
1305297294478900,7.0355177,15.804716,0
1305297305323800,6.809292,15.742172,0
1305297316270200,6.180376,15.552046,0
1305297335830600,5.6888027,15.339338,0
1305297339164300,4.9267015,14.875803,0
1305297357098100,4.198966,14.303419,0
1305297360688300,4.0505877,14.15881,0
1305297371769700,3.8891678,13.983074,0
1305297388538400,3.1295156,13.023447,0
1305297401600500,3.0729656,12.884661,0
1305297404911400,2.838688,12.31937,0
1305297417200600,2.7609339,12.101191,0
1305297434770400,2.728526,11.746607,0
1305297438412900,2.9190083,11.133974,0
1305297449955300,3.0722885,10.893019,0
1305297467608000,3.3419561,10.575619,0
1305297470585700,4.057708,10.035118,0
1305297483358000,4.2821674,9.872368,0
1305297501047100,4.8609524,9.427473,0
1305297504467700,5.740737,8.693884,0
1305297524622500,5.920746,8.527342,0
1305297527912100,7.153845,7.7945657,0
1305297536561500,7.394822,7.6821694,0
1305297546968700,8.033276,7.362269,0
1305297572505400,8.855463,6.91651,0
1305297575578200,10.35585,6.1455483,0
1305297580971900,10.591941,6.0916734,0
1305297590567500,11.358833,5.748999,0
1305297606552400,12.310015,5.4230523,0
1305297612721700,12.507622,5.3744874,0
1305297624263400,13.242813,5.2517457,0
1305297640804800,13.998651,5.25297,0
1305297646634500,14.141593,5.260554,0
1305297659185500,14.485529,5.3297906,0
1305297667606900,14.902453,5.4771104,0
1305297679316900,15.3894205,5.6815286,0
1305297692817300,15.879915,5.960316,0
1305297700826000,16.261076,6.1979413,0
1305297717721500,16.685638,6.5066056,0
1305297722853200,17.249355,6.979178,0
1305297734647200,17.882212,7.5165334,0
