time,x,y,Object
3378774516800,11.047706,0.35960433,0
3378779892100,11.035237,0.4058356,0
3378783918200,11.005571,0.51394606,0
3378789711000,10.970676,0.6378684,0
3378809060900,10.890654,0.9646249,0
3378813070600,10.751453,2.3479304,0
3378821768600,10.665449,3.0755506,0
3378841988400,10.358145,5.4558015,0
3378845650700,10.32739,5.6274514,4
3378855913000,10.324628,5.878266,4
3378873008800,10.869199,4.5712895,4
3378877141900,10.9775715,4.2408557,4
3378888676300,11.085794,2.162743,4
3378902028300,11.085423,1.0128436,0
3378909795500,11.045479,0.68484926,0
3378921191400,11.018066,0.84023523,0
3378931693700,10.989668,0.99604845,0
3378948927400,10.985039,1.1837602,0
3378953861700,10.962103,1.4032311,0
3378966240600,10.924259,1.6388717,0
3378980402600,10.888939,1.7488875,0
3378996190800,10.803961,2.142838,0
3379000655900,10.635499,3.0433946,0
3379009564300,10.581425,3.3436646,0
3379026567700,10.433544,4.100838,0
3379032283500,10.239742,4.790135,0
3379044645600,10.180016,4.9140677,0
3379059926700,10.195045,4.8831143,0
3379064274200,10.28116,4.570644,0
3379077818100,10.305492,3.5285,0
3379091747800,10.319378,3.1655002,0
3379097061500,10.349343,2.3468595,0
3379121688600,10.370987,2.2683043,0
3379125789400,10.27936,2.5667682,0
3379130543800,10.23382,2.7237706,0
3379153148700,10.194114,3.132382,0
3379156030300,10.029531,4.782474,0
3379173512700,10.019355,4.955088,0
3379176880700,9.998903,5.378306,4
3379184505800,10.046258,5.286204,4
3379195557200,10.239852,4.8689637,4
3379219747400,10.384569,4.479069,4
3379223219800,10.457827,3.4048162,4
3379228653200,10.4470215,3.3255,0
3379240056000,10.427645,3.2935348,0
3379253269700,10.368065,3.4348445,0
3379270407600,10.30631,3.6549277,0
3379273455000,10.26351,4.1121297,0
3379288227700,10.327025,4.524717,0
3379295500900,10.336859,4.5566134,0
3379305648500,10.400803,4.4163184,0
3379320927800,10.651386,3.8049893,0
3379334981700,10.690994,3.6789193,0
3379340314900,10.851233,3.2057614,0
3379353565100,10.892599,3.063582,0
3379368015500,10.892599,3.063582,0
3379372096300,10.878378,3.1903958,0
3379384429300,10.878736,3.365168,0
3379394454700,10.968498,3.7801728,0
3379404563700,11.028225,3.9562163,0
