time,x,y,Object
1304742021654800,11.031048,0.42126128,0
1304742029936700,11.0012665,0.52941465,0
1304742041037500,10.956255,0.85548925,0
1304742057989800,10.889229,1.6071191,0
1304742062598900,10.88089,1.7173009,0
1304742072680500,10.874315,1.9065042,4
1304742084305900,10.881506,2.1119895,4
1304742097600200,10.884991,2.3019395,4
1304742106199200,10.888893,2.4921412,4
1304742129642100,10.893215,2.6825423,4
1304742133917700,10.893488,3.0318322,4
1304742138548300,10.885973,3.1111093,4
1304742148955900,10.880543,3.3016524,4
1304742165320800,10.879202,3.7464757,4
1304742171502400,10.881035,3.8894582,4
1304742182180900,10.896099,4.207277,4
1304742198810800,10.891155,4.935819,4
1304742220346300,10.876448,5.0302873,4
1304742223227600,10.763496,5.846232,4
1304742226689900,10.733643,5.939486,4
1304742246419900,10.524265,6.3706193,4
1304742249707200,10.493351,6.4318833,4
1304742266425400,10.294537,6.8126893,4
1304742275434100,10.261835,6.8732705,4
1304742295510800,10.17064,7.039334,4
1304742298930900,10.061607,7.5271096,4
1304742303496400,10.037478,7.6486173,4
1304742314083200,10.055204,7.9404054,4
1304742324833600,10.053939,8.184269,4
1304742347505000,10.115595,8.460924,4
1304742352167700,10.136526,8.779362,4
1304742362794400,10.162282,8.9011345,4
1304742378439200,10.133009,8.974733,0
1304742381457200,10.097553,9.57012,0
1304742393923500,10.108912,9.822477,0
1304742408681000,10.166551,10.222645,0
1304742413396000,10.362929,10.669247,0
1304742425965200,10.604376,11.226007,0
1304742439583900,10.694808,11.400223,0
1304742446057500,10.956977,11.887926,0
1304742457708100,11.192331,12.338421,0
1304742472512300,11.578064,13.1479225,0
1304742478997800,11.622629,13.282625,0
1304742490493300,11.802294,13.708561,0
1304742502104100,11.942944,14.075315,0
1304742513607900,12.072611,14.346039,0
1304742523300200,12.179274,14.536879,0
1304742534667200,12.273192,14.662331,0
1304742546190100,12.375608,14.722755,0
1304742556162700,12.503435,14.641178,0
1304742567303900,12.667457,14.454136,0
1304742582269900,13.0120535,13.980566,0
1304742596107100,13.079129,13.884491,0
1304742602507200,13.468323,13.299105,0
1304742611375600,13.662886,12.986689,0
1304742622911700,14.016,12.380224,0
1304742635402600,14.299053,11.850956,0
1304742644553300,14.549355,11.34413,0
1304742661963200,14.802613,10.786026,0
1304742668449200,15.059211,10.07423,0
1304742677848700,15.177872,9.6645565,0
1304742693345800,15.276736,9.284256,0
1304742699069400,15.282979,8.708498,0
1304742711311200,15.145319,8.1037445,0
1304742721729300,15.065671,7.890303,0
1304742741474800,14.662662,7.141749,0
1304742744938600,14.595951,7.0581117,0
1304742754050700,14.485886,6.9178452,0
1304742766139900,14.182341,6.641293,0
1304742781568300,13.52426,6.456446,0
1304742796793700,13.381472,6.4638505,4
1304742799975900,12.593881,6.5082955,4
1304742814685200,11.7565365,6.6270757,4
1304742830278300,11.572535,6.657641,4
1304742833411300,10.99493,6.7272553,4
1304742847441200,10.7803135,6.7216973,4
1304742862582700,10.773579,6.7059503,4
1304742865852300,10.788675,6.67528,4
1304742879314000,10.826146,6.5985093,4
1304742893395700,10.826146,6.5985093,4
1304742898639100,10.811207,6.6292367,4
1304742908401900,10.773579,6.7059503,4
1304742926278600,10.5408535,6.9622197,4
1304742930194800,10.497185,6.960585,4
1304742942228000,10.419704,7.0504518,4
1304742959193300,10.370787,7.1412263,4
1304742963901800,10.362579,7.1563325,4
1304742973971500,10.313023,7.2468343,4
1304742989944200,10.147699,7.377749,4
1304743003990700,10.106989,7.4218583,4
1304743007061500,9.8924055,7.548281,4
1304743019554400,9.771585,7.617554,4
1304743036668900,9.600528,7.789778,4
1304743041133200,9.284048,8.024851,4
1304743055765500,9.00023,8.242737,0
1304743063423200,8.939991,8.327818,0
1304743073218800,8.431064,8.590267,0
1304743087487600,7.2811403,8.818323,0
1304743104045300,7.0764103,8.873171,0
1304743107075300,6.043931,8.997902,0
1304743121358700,5.166497,9.025341,0
1304743136395700,4.96506,9.060625,0
1304743139416600,4.150651,9.120426,3
1304743153573100,3.5998487,9.2218685,3
1304743161645100,3.5069618,9.249025,3
1304743183574400,3.31559,9.358152,3
1304743186940500,3.199191,9.433674,3
1304743194468000,3.199191,9.433674,3
1304743214409600,3.2024899,9.449348,3
1304743217529000,3.4237947,9.627365,3
1304743231313800,3.6088524,9.848433,3
1304743245195300,3.6606302,9.923174,3
1304743249903600,3.7474556,10.195913,3
1304743263466100,3.825841,10.421511,3
1304743277761600,3.8435183,10.484253,3
1304743282247100,3.9874039,10.686092,3
1304743295723400,4.1627026,10.867426,3
1304743304307500,4.229478,10.915773,3
1304743325668400,4.6075516,11.22274,3
1304743330126300,4.6953135,11.275293,3
1304743341146600,4.783387,11.327547,3
1304743358015600,5.049468,11.4825,3
1304743362664900,5.505334,11.750027,3
1304743370418100,5.6089277,11.830294,3
1304743380954000,5.844558,12.009373,3
1304743393298100,6.1911325,12.264141,3
1304743411512000,7.015816,12.791756,0
1304743415086000,7.177627,12.88731,0
1304743426335900,7.8171186,13.322975,0
1304743442848100,8.903664,13.785336,0
1304743447947000,9.109406,13.883787,0
1304743458780600,9.764936,14.235306,0
1304743473630800,10.587454,14.828106,0
1304743487575500,10.718989,14.933538,0
1304743492110500,11.314564,15.53056,0
1304743504147600,11.866082,16.075447,0
1304743517802100,11.998378,16.20478,0
1304743524422400,12.492323,16.73166,0
1304743548389000,12.766342,17.14427,0
1304743551332000,13.083611,17.946016,0
1304743558377700,13.103302,18.063074,0
1304743581225000,13.1732855,18.594732,0
1304743584033200,13.091821,19.174757,0
1304743591416700,13.046928,19.29519,0
