time,x,y,Object
1304339155245600,11.014128,0.48302123,0
1304339159539100,10.975094,0.6223502,0
1304339168976000,10.924505,0.8243489,0
1304339181737400,10.864173,1.3242736,0
1304339190363600,10.806477,1.8587165,4
1304339200849400,10.739847,2.6010804,4
1304339211583900,10.724176,3.060639,4
1304339223501000,10.738277,3.6164298,4
1304339240711400,10.873244,4.4129214,4
1304339245241800,10.934773,4.6203666,4
1304339257435100,11.004238,4.8752217,4
1304339275167300,11.120974,5.209536,4
1304339279290700,11.139595,5.509402,4
1304339301163600,10.921642,6.007296,4
1304339304445400,10.893256,6.069258,4
1304339311640100,10.842974,6.1775193,4
1304339322057500,10.740099,6.3933587,4
1304339340024600,10.540924,6.7915597,4
1304339344636200,10.517269,6.83726,4
1304339354847900,10.453513,6.9588876,4
1304339371343500,10.289838,7.261225,4
1304339377850600,10.256372,7.3213754,4
1304339396899200,10.200293,7.9937844,4
1304339400349200,10.189692,8.039036,4
1304339410600600,10.164603,8.1901455,4
1304339427537400,10.091377,8.3383045,4
1304339431672100,10.073399,8.367676,4
1304339450604800,9.973462,8.528692,4
1304339455293700,9.955099,8.557859,4
1304339477812200,9.936688,8.587,4
1304339481144700,9.86245,8.703224,4
1304339494758900,9.853107,8.717714,4
1304339498522900,9.834374,8.746672,4
1304339511634400,9.834374,8.746672,4
1304339522319100,9.886026,8.825222,4
1304339530780700,10.04534,8.789459,4
1304339546885700,10.312504,8.712671,4
1304339561813900,10.371761,8.670055,4
1304339564729700,10.7253475,8.547285,4
1304339575084800,10.912182,8.476761,4
1304339588566700,11.169339,8.390913,4
1304339597273700,11.3995695,8.28723,4
1304339610401800,11.631336,8.074934,4
1304339626059200,11.732918,7.860972,4
1304339630846700,11.754298,7.815005,4
1304339641395400,11.796636,7.722941,4
1304339651737600,11.859106,7.584563,4
1304339663005900,11.920321,7.445849,4
1304339673777600,11.993437,7.275885,4
1304339684578200,12.045431,7.1520104,4
1304339695678600,12.090105,7.043448,4
1304339707519900,12.127789,6.9502816,4
1304339720205600,12.146418,6.9036508,4
1304339737182500,12.144249,6.872748,4
1304339740141200,12.144249,6.872748,4
1304339754945900,12.135918,6.8573804,4
1304339769074400,12.135918,6.8573804,4
1304339772660200,12.079754,6.997229,4
1304339788352400,11.858557,7.4155297,4
1304339796208900,11.764035,7.492865,4
1304339818466400,11.359827,7.737227,4
1304339821480800,10.547537,8.115728,4
1304339833769300,10.42037,8.141151,4
1304339853753600,10.113235,8.248316,4
1304339856714300,10.025426,8.365011,4
1304339868533400,10.016366,8.379675,4
1304339872145900,9.979994,8.438227,4
1304339886125100,9.888042,8.584049,4
1304339895001700,9.857813,8.657671,4
1304339904656700,9.808593,8.760082,4
1304339917252900,9.794313,8.834425,4
1304339932152400,9.862692,8.913992,4
1304339946896000,9.955637,9.009773,4
1304339949841900,10.180141,9.172064,4
1304339962031600,10.302425,9.2528305,4
1304339978654000,10.492511,9.365547,4
1304339981769300,10.701398,9.507057,4
1304339997423900,10.913691,9.646629,4
1304340004348800,10.965164,9.677452,4
1304340015578700,11.103277,9.798521,4
1304340030471900,11.243496,9.948038,4
1304340045916800,11.269939,9.963053,4
1304340048771700,11.385638,10.066944,4
1304340063644300,11.536846,10.11141,4
1304340078204500,11.581507,10.126034,4
1304340081181300,11.778694,10.183556,4
1304340097954100,12.027814,10.180002,4
1304340113634200,12.073081,10.193741,4
1304340116500700,12.294815,10.173559,0
1304340130454500,12.629805,10.336817,0
1304340135945200,12.76088,10.38916,0
1304340147902400,13.220977,10.522766,0
1304340163022500,13.904637,10.598591,0
1304340170365000,14.026002,10.601431,0
1304340195643400,14.456382,10.656324,0
1304340198735700,15.285872,10.761456,0
1304340202061400,15.410143,10.799652,0
1304340215540300,15.818586,10.960567,0
1304340229623700,16.111753,11.064083,0
1304340235989400,16.169792,11.09569,0
1304340246683900,16.336454,11.120377,0
1304340262288400,16.624247,11.104982,0
1304340267821100,16.662434,11.097055,0
1304340280139900,16.843153,10.988173,0
1304340293582100,16.911587,10.846058,0
1304340308936400,16.954504,10.723232,0
1304340312362500,16.951588,10.68129,0
1304340324735100,16.918648,10.574806,0
1304340341494600,16.403538,10.066137,0
1304340344867300,16.286413,9.959,0
1304340356500700,15.94029,9.630991,0
1304340372893700,15.117223,9.02722,0
1304340387141500,14.966513,8.94408,0
1304340390143600,14.246205,8.611235,0
1304340400947700,13.837506,8.469046,0
1304340420503200,13.213822,8.407942,0
1304340423567200,12.108822,8.435183,0
1304340437112600,11.016382,8.524588,4
1304340453442900,10.7253475,8.547285,4
1304340456388600,9.605714,8.55007,4
1304340469810100,9.109821,8.524921,4
1304340477595000,9.044978,8.51898,4
1304340488094100,8.972168,8.572426,4
1304340500891100,8.9417305,8.614679,4
1304340517247200,8.880489,8.698931,4
1304340521861100,8.870232,8.712942,4
1304340532343100,8.870232,8.712942,4
1304340545305400,8.886648,8.714571,4
1304340562571000,8.976604,8.663202,4
1304340565702700,9.264024,8.824541,4
1304340579604200,9.56898,9.118727,4
1304340586694500,9.630758,9.183056,4
1304340597655300,9.821905,9.449614,4
1304340612573200,9.965597,9.740416,4
1304340619908200,9.98879,9.78614,4
1304340630711300,10.057442,9.952385,4
1304340643309800,9.99016,10.18359,4
1304340659875400,9.887581,10.382071,4
1304340664323500,9.857633,10.423916,4
1304340675670100,9.807454,10.493477,4
1304340691462500,9.644663,10.714458,0
1304340697552600,9.603443,10.769306,0
1304340707692100,9.432255,11.144566,0
1304340723203600,9.333515,11.620306,0
1304340737592100,9.347831,11.678017,0
1304340740800200,9.482014,12.068029,0
1304340755223700,9.80276,12.465942,0
1304340769027100,9.8996315,12.527231,0
1304340774254100,10.383312,12.785587,0
1304340799539800,10.705489,12.933575,0
1304340802459700,11.734722,13.214275,0
1304340806552200,11.88048,13.239286,0
1304340830031600,12.327998,13.268536,0
1304340832835600,12.787527,13.15468,1
1304340845987000,12.835965,13.1116295,1
1304340852844400,13.011537,12.871084,1
1304340862291700,13.083119,12.757589,1
1304340878405300,13.188878,12.586409,1
1304340883758100,13.281248,12.401127,1
1304340894704600,13.295284,12.247988,1
1304340908962800,13.252584,12.125986,1
1304340924656400,12.876992,11.474974,1
1304340928215700,12.820627,11.378601,1
1304340940125200,12.722186,11.226845,1
1304340956009400,12.569984,10.84646,1
1304340970129800,12.549329,10.818478,1
1304340973034900,12.465149,10.677296,1
1304340987738900,12.36389,10.535873,1
1304340995335300,12.343802,10.507471,1
1304341016938200,12.273934,10.40777,1
1304341020727500,12.113571,10.119625,1
1304341026680400,12.100685,10.046547,0
1304341048921000,12.073456,9.708166,0
1304341051846700,11.9022,8.830669,0
1304341063894300,11.85371,8.665443,4
1304341080258300,11.7300825,8.19656,4
1304341083280000,11.661467,7.5852246,4
1304341097275000,11.687495,7.261992,4
1304341113306900,11.706831,7.18483,4
1304341117521400,11.807123,6.952763,4
1304341127186000,11.833276,6.890742,4
1304341136760600,11.872036,6.7976174,4
1304341148233700,11.89756,6.7354684,4
1304341164428500,11.984915,6.5175843,4
1304341177758300,12.01125,6.486321,4
1304341181760300,12.063551,6.423741,4
1304341195055000,12.08568,6.4391084,4
1304341203805600,12.08568,6.4391084,4
1304341224088400,12.1018915,6.4700513,4
1304341227416200,12.324426,6.854449,4
1304341236425500,12.39647,6.930247,4
1304341246686000,12.557477,7.0804505,4
1304341258869500,12.767445,7.3042035,4
1304341272613300,12.958542,7.5107694,0
1304341287308500,12.992775,7.5397706,0
1304341290864900,13.262631,7.708815,0
1304341304641700,13.70022,7.8925576,0
1304341318212000,13.846879,7.956797,0
1304341323783400,14.328656,8.229082,0
1304341335183100,14.82355,8.547018,0
1304341346006700,15.041832,8.712128,0
1304341356775200,15.401506,9.001165,0
1304341369509600,15.718795,9.289137,0
1304341378879900,15.919484,9.488987,0
1304341390042100,16.135908,9.697622,0
1304341400755900,16.265553,9.919626,0
1304341414137100,16.406794,10.209366,0
1304341427831200,16.443531,10.302597,0
1304341442983900,16.45358,10.47241,0
1304341446007000,16.39563,10.683601,0
1304341456454700,16.367615,10.760235,0
1304341466628100,16.287207,10.974434,0
1304341478568100,16.21598,11.1575775,0
1304341491790300,16.11144,11.416206,0
1304341507260200,15.823578,11.955473,0
1304341510661900,15.769449,12.033939,0
1304341521918100,15.6726,12.201981,0
1304341533730500,15.403432,12.451088,1
1304341553244300,15.135997,12.573101,1
1304341556459700,14.752058,12.693632,1
1304341570051300,14.560926,12.731112,1
1304341585280000,14.515961,12.709274,1
1304341588137000,14.454946,12.716475,1
1304341599866700,14.454946,12.716475,1
1304341616641700,14.463019,12.701904,1
1304341621284400,14.5430355,12.555828,1
1304341632429400,14.606036,12.438505,1
1304341649499500,14.811963,12.039673,1
1304341654194300,14.841586,11.98023,1
1304341665792800,14.929076,11.801374,1
1304341685074100,15.104651,11.426401,1
1304341688405200,15.131897,11.366129,1
1304341699578600,15.179016,11.260479,1
1304341708877200,15.264612,11.063723,1
1304341729218300,15.3540125,10.851072,1
1304341732407300,15.434429,10.652975,1
1304341742010600,15.452632,10.607183,1
1304341761796600,15.476692,10.546074,1
1304341764793700,15.488636,10.515509,0
1304341779484200,15.508239,10.239025,0
1304341794936400,15.506214,10.152718,0
1304341797988600,15.360731,9.666964,0
1304341812975900,15.175221,9.195915,0
1304341827336100,15.135975,9.068867,0
1304341830316500,14.96049,8.514957,0
1304341845151600,14.905391,8.283743,0
1304341861701300,14.796011,7.7585855,0
1304341864525800,14.745837,7.1630273,0
1304341879076700,14.739196,6.6512284,0
1304341886572000,14.745724,6.5600667,0
1304341909119700,14.782099,6.3302445,0
1304341912200400,14.882762,5.8238378,0
1304341925449100,14.896642,5.747462,0
1304341941262700,14.943642,5.4734254,0
1304341944129700,14.994879,5.140656,0
1304341951403600,15.003471,5.0804353,0
1304341972045000,15.039422,4.8106465,0
1304341975156800,15.079005,4.4690404,0
1304341992609600,15.109088,4.160567,0
1304341995862200,15.117862,4.058536,0
1304342006683300,15.126016,3.9569201,0
1304342020234900,15.14144,3.7406402,0
1304342033622100,15.144197,3.6976342,0
1304342050124200,15.150209,3.597631,0
1304342052906400,15.154893,3.5122828,0
1304342064572100,15.154893,3.5122828,0
1304342081265700,15.156362,3.4839168,0
1304342084171600,15.159159,3.4273047,0
1304342098164800,15.161132,3.384952,0
1304342112940000,15.161766,3.37085,0
1304342116167800,15.163605,3.3286262,0
1304342129714400,15.163605,3.3286262,0
1304342138079700,15.163605,3.3286262,0
1304342150838700,15.163605,3.3286262,0
1304342162411900,15.106477,3.260303,0
1304342170970100,15.095092,3.2466044,0
1304342189839600,15.0723715,3.2191834,0
1304342193264300,15.061033,3.205461,0
1304342206463500,15.038402,3.1779819,0
1304342220932100,15.015827,3.1504617,0
1304342228242900,14.98208,3.1091123,0
1304342237291300,14.959653,3.0814967,0
1304342248174000,14.937284,3.0538402,0
1304342259441200,14.914985,3.026153,0
1304342269936100,14.848424,2.9428535,0
1304342281080000,14.82636,2.915012,0
